delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0.060715373840317444,-0.007142848909211352,-0.12143235576984557,149.9998270929666,-914.2858218854428,-128.57142860566455,-892.8574233981408,0,0,-1275.0228506466665,-200,49,2.718363377670175,-1275.0228506466665,0.0,0.0,0.0,0,2.596931825944935,-200,2.718363377670175,-85.71417811455717,-71.42857139433545,107.14257660185922,0,0,0,349.65510201356886,0.00036716461181640625,1526286604.9244056
0,0.060715141179097376,-0.007142850819775504,-0.12143155172524,149.99986721560958,-914.2857969119973,-128.57142859313058,-892.8573582895183,0,0,-1275.017964761042,-200,50,2.7790785188492726,-1275.017964761042,0.0,0.0,0.0,0,2.657647601807555,-200,2.7790785188492726,-85.7142030880027,-71.42857140686942,107.14264171048171,0,0,0,349.6479591627491,0.0036020278930664062,1526286604.9396257
0,0.060714957899894895,-0.007142852287074675,-0.12143091704171738,149.99989802869322,-914.2857777350173,-128.57142858537145,-892.8573082916955,0,0,-1275.0141158977967,-200,51,2.8397934767491675,-1275.0141158977967,0.0,0.0,0.0,0,2.718363060328414,-200,2.8397934767491675,-85.71422226498271,-71.42857141462855,107.14269170830448,0,0,0,349.640816310462,0.002496004104614258,1526286604.953195
0,0.05289250312478355,-0.007142853413881767,-0.12143041642075358,149.99992169204006,-914.2857630091896,-128.57142858039765,-892.8572698975472,0,0,-1110.7425656204541,-200,52,2.892685979873951,-1110.7425656204541,0.0,0.0,0.0,0,2.7790782685387905,-200,2.892685979873951,-85.71423699081038,-71.42857141960235,107.14273010245279,0,0,0,349.63367345704813,0.0033111572265625,1526286604.968384
0,0.045380600845733365,-0.006552293632751116,-0.11360771133516057,137.59816628809745,-901.8839781249426,-128.57142857721442,-892.8572404140596,0,0,-952.9926177603993,-200,53,2.9380665807196844,-952.9926177603993,0.0,0.0,0.0,0,2.8358821242063708,-200,2.9380665807196844,-98.11602187505741,-71.42857142278558,107.14275958594044,0,0,0,349.6271211634154,0.0019388198852539062,1526286604.9824615
0,0.037979799051189644,-0.006155793380571595,-0.10218445651331365,129.2716609923275,-891.4904879278254,-128.57142857502595,-890.7902555105238,0,0,-797.575780074978,-200,54,2.976046379770874,-797.575780074978,0.0,0.0,0.0,0,2.8869743524630276,-200,2.976046379770874,-108.50951207217463,-71.42857142497405,109.20974448947618,0,0,0,349.6209653700348,0.0003590583801269531,1526286604.9935727
0,0.03256021639920448,-0.005814491365811136,-0.08907202730784647,122.10431868195997,-881.3851533267609,-128.57142857383224,-887.8522632186332,0,0,-683.7645443832916,-200,55,3.0086065961700785,-683.7645443832916,0.0,0.0,0.0,0,2.931510366116951,-200,3.0086065961700785,-118.61484667323907,-71.42857142616776,112.1477367813668,0,0,0,349.615150878669,0.003487825393676758,1526286605.0082912
0,0.028463905932785583,-0.005522758548863749,-0.07709623005312771,115.97792952646273,-871.7315256624545,-128.57142857283748,-884.3250247088292,0,0,-597.7420245884932,-200,56,3.037070502102864,-597.7420245884932,0.0,0.0,0.0,0,2.9700584811435147,-200,3.037070502102864,-128.2684743375455,-71.42857142716252,115.67497529117077,0,0,0,349.60962812012014,0.00032138824462890625,1526286605.0191872
0,0.02522309440859072,-0.004411924874091255,-0.06701202095934944,92.65042235564351,-862.4619973362542,-110.6310346586497,-880.4426096392604,0,0,-529.6849825804056,-200,57,3.062293596511455,-529.6849825804056,0.0,0.0,0.0,0,3.003564491623189,-200,3.062293596511455,-137.53800266374583,-89.3689653413503,119.55739036073965,0,0,0,349.60521619524604,0.006672859191894531,1526286605.0368888
0,0.029559735065602943,-0.004623065429086637,-0.05872910488826566,97.08437401134233,-852.0514541591808,-118.40136758892754,-873.368447736766,0,0,-620.7544363776578,-200,58,3.0918533315770578,-620.7544363776578,0.0,0.0,0.0,0,3.032929044067322,-200,3.0918533315770578,-147.94854584081918,-81.59863241107246,126.63155226323397,0,0,0,349.60059312981696,0.003214597702026367,1526286605.0518022
