I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
-81.77327331005642,-6.595989702724978,-0.1778976096232583,21384.686550621536,-918.2267266899436,-993.404010297275,0,1.1847674882198476,0,-51.18476748821985,-5944.670483244682,-50000,55,6.36042921970553,8.530833958337197,0.0,0.0,0,7893.130887947168,6.186556550847548,0,-50000,6.36042921970553,323.8971417094731,0,0,323.8971417094731,0.002101898193359375,1523791754.7002416
-86.38633375596044,-6.135438802277804,-0.1738726688579817,20032.46232249267,-913.6136662440396,-993.8645611977222,0,1.1028582905269104,0,-51.10285829052691,-5789.265246170809,-50000,56,6.443133008936542,9.526328694166793,0.0,0.0,0,8003.416716999859,6.273492885276539,0,-50000,6.443133008936542,323.98262878026276,0,0,323.98262878026276,0.00023794174194335938,1523791754.7112348
-91.1341663389453,-5.643666433225576,-0.16964012366000247,18645.663330815412,-908.8658336610547,-994.3563335667744,0,1.0173712197372424,0,-51.01737121973724,-5626.759073670605,-50000,57,6.52351528141755,10.522044347807153,0.0,0.0,0,8105.153838973583,6.3583129471065405,0,-50000,6.52351528141755,324.0700782673468,0,0,324.0700782673468,0.0022182464599609375,1523791754.7243586
-96.03419474422651,-5.152963525433734,-0.16520233431100984,17208.269699900797,-903.9658052557735,-994.8470364745663,0,0.929921732653213,0,-50.92992173265321,-5456.847405715026,-50000,58,6.601470244356336,11.51979878444422,0.0,0.0,0,8198.146012238905,6.440914114262045,0,-50000,6.601470244356336,324.1606126932724,0,0,324.1606126932724,0.00027298927307128906,1523791754.7353802
-101.06036318475674,-4.637690401759187,-0.1605561300942906,15736.854188908655,-898.9396368152433,-995.3623095982408,0,0.8393873067275877,0,-50.83938730672759,-5279.842278848308,-50000,59,6.676896562625598,12.515967250654668,0.0,0.0,0,8282.084742911664,6.521192179309191,0,-50000,6.676896562625598,324.25307057785284,0,0,324.25307057785284,0.002238750457763672,1523791754.7483077
-105.6262843789267,-4.120430717733257,-0.15570438331640712,14414.290644075212,-894.3737156210733,-995.8795692822667,0,0.7469294221471614,0,-50.74692942214716,-5818.597444959227,-50000,60,6.760019383267872,11.332950810829942,0.0,0.0,0,8356.77768512638,6.599044370967395,0,-50000,6.760019383267872,324.3860219143489,0,0,324.3860219143489,0.00025177001953125,1523791754.7589538
-106.74990361153277,-3.2052794671494667,-0.16097501230047762,14332.075572242342,-893.2500963884672,-996.7947205328505,0,0.6139780856511265,0,-50.61397808565113,-6189.203999289838,-50000,61,6.848436583257727,10.507629972398405,0.0,0.0,0,8418.175493691493,6.6795318771176335,0,-50000,6.848436583257727,324.41836631621766,0,0,324.41836631621766,0.0032510757446289062,1523791754.772873
-107.6816101492318,-3.542007455602061,-0.16890470614009345,13917.015680860095,-892.3183898507682,-996.4579925443979,0,0.5816336837823428,0,-50.58163368378234,-6456.175047400657,-50000,62,6.940667655363451,10.014134689799903,0.0,0.0,0,8476.338862069728,6.76398423018768,0,-50000,6.940667655363451,324.46708281189575,0,0,324.46708281189575,0.0003123283386230469,1523791754.7840152
-107.44490406540478,-3.1731188037775837,-0.17668342517577074,14108.092813216826,-892.5550959345952,-996.8268811962224,0,0.5329171881042498,0,-50.53291718810425,-6671.20426745678,-50000,63,7.035970573469976,9.595052455178433,0.0,0.0,0,8529.630580880154,6.852325942775566,0,-50000,7.035970573469976,324.4687936753029,0,0,324.4687936753029,0.002218961715698242,1523791754.7966182
-107.3347548472475,-3.575265671975103,-0.18364463069441062,14013.159435624751,-892.6652451527525,-996.4247343280249,0,0.5312063246971093,0,-50.53120632469711,-6841.558070783532,-50000,64,7.133707117338313,9.338258772413838,0.0,0.0,0,8582.751213349864,6.944148258122771,0,-50000,7.133707117338313,324.4877427596542,0,0,324.4877427596542,0.00022554397583007812,1523791754.8075466
